in s,C2 in V
-4.4254928E-02,3.66211E-04
-4.4254328E-02,1.09863E-03
-4.4253728E-02,4.02832E-03
-4.4253128E-02,3.29590E-03
-4.4252528E-02,3.66211E-04
-4.4251928E-02,3.29590E-03
-4.4251328E-02,3.66211E-04
-4.4250728E-02,1.83105E-03
-4.4250128E-02,1.09863E-03
-4.4249528E-02,2.56348E-03
-4.4248928E-02,1.83105E-03
-4.4248328E-02,2.56348E-03
-4.4247728E-02,3.66211E-04
-4.4247128E-02,3.66211E-04
-4.4246528E-02,4.76074E-03
-4.4245928E-02,-2.56348E-03
-4.4245328E-02,1.83105E-03
-4.4244728E-02,3.66211E-04
-4.4244128E-02,3.29590E-03
-4.4243528E-02,2.56348E-03
-4.4242928E-02,3.66211E-04
-4.4242328E-02,3.29590E-03
-4.4241728E-02,3.29590E-03
-4.4241128E-02,2.56348E-03
-4.4240528E-02,-2.56348E-03
-4.4239928E-02,5.49316E-03
-4.4239328E-02,3.29590E-03
-4.4238728E-02,2.56348E-03
-4.4238128E-02,3.29590E-03
-4.4237528E-02,-1.83105E-03
-4.4236928E-02,3.29590E-03
-4.4236328E-02,4.76074E-03
-4.4235728E-02,4.76074E-03
-4.4235128E-02,5.49316E-03
-4.4234528E-02,2.56348E-03
-4.4233928E-02,3.29590E-03
-4.4233328E-02,4.02832E-03
-4.4232728E-02,-3.66211E-04
-4.4232128E-02,6.95801E-03
-4.4231528E-02,3.29590E-03
-4.4230928E-02,4.02832E-03
-4.4230328E-02,3.29590E-03
-4.4229728E-02,4.02832E-03
-4.4229128E-02,-3.29590E-03
-4.4228528E-02,2.56348E-03
-4.4227928E-02,4.02832E-03
-4.4227328E-02,4.02832E-03
-4.4226728E-02,4.02832E-03
-4.4226128E-02,1.09863E-03
-4.4225528E-02,4.76074E-03
-4.4224928E-02,3.29590E-03
-4.4224328E-02,1.83105E-03
-4.4223728E-02,-5.49316E-03
-4.4223128E-02,3.29590E-03
-4.4222528E-02,5.49316E-03
-4.4221928E-02,2.56348E-03
-4.4221328E-02,4.76074E-03
-4.4220728E-02,-2.56348E-03
-4.4220128E-02,5.49316E-03
-4.4219528E-02,3.66211E-04
-4.4218928E-02,3.29590E-03
-4.4218328E-02,5.49316E-03
-4.4217728E-02,4.76074E-03
-4.4217128E-02,1.09863E-03
-4.4216528E-02,1.09863E-03
-4.4215928E-02,3.29590E-03
-4.4215328E-02,3.66211E-04
-4.4214728E-02,2.56348E-03
-4.4214128E-02,1.09863E-03
-4.4213528E-02,4.76074E-03
-4.4212928E-02,3.29590E-03
-4.4212328E-02,3.66211E-04
-4.4211728E-02,1.83105E-03
-4.4211128E-02,3.29590E-03
-4.4210528E-02,2.56348E-03
-4.4209928E-02,2.56348E-03
-4.4209328E-02,3.29590E-03
-4.4208728E-02,3.66211E-04
-4.4208128E-02,4.76074E-03
-4.4207528E-02,1.83105E-03
-4.4206928E-02,-1.09863E-03
-4.4206328E-02,1.83105E-03
-4.4205728E-02,5.49316E-03
-4.4205128E-02,1.83105E-03
-4.4204528E-02,1.09863E-03
-4.4203928E-02,4.02832E-03
-4.4203328E-02,2.56348E-03
-4.4202728E-02,2.56348E-03
-4.4202128E-02,1.83105E-03
-4.4201528E-02,-2.56348E-03
-4.4200928E-02,4.76074E-03
-4.4200328E-02,3.29590E-03
-4.4199728E-02,1.09863E-03
-4.4199128E-02,5.49316E-03
-4.4198528E-02,-1.09863E-03
-4.4197928E-02,4.02832E-03
-4.4197328E-02,1.09863E-03
-4.4196728E-02,5.49316E-03
-4.4196128E-02,7.69043E-03
-4.4195528E-02,2.56348E-03
-4.4194928E-02,1.09863E-03
-4.4194328E-02,2.56348E-03
-4.4193728E-02,5.49316E-03
-4.4193128E-02,4.02832E-03
-4.4192528E-02,4.76074E-03
-4.4191928E-02,2.56348E-03
-4.4191328E-02,6.95801E-03
-4.4190728E-02,4.76074E-03
-4.4190128E-02,3.66211E-04
-4.4189528E-02,1.83105E-03
-4.4188928E-02,3.29590E-03
-4.4188328E-02,4.76074E-03
-4.4187728E-02,1.83105E-03
-4.4187128E-02,5.49316E-03
-4.4186528E-02,2.56348E-03
-4.4185928E-02,4.76074E-03
-4.4185328E-02,4.76074E-03
-4.4184728E-02,-3.66211E-04
-4.4184128E-02,3.29590E-03
-4.4183528E-02,3.29590E-03
-4.4182928E-02,3.29590E-03
-4.4182328E-02,5.49316E-03
-4.4181728E-02,2.56348E-03
-4.4181128E-02,2.56348E-03
-4.4180528E-02,4.02832E-03
-4.4179928E-02,2.56348E-03
-4.4179328E-02,3.29590E-03
-4.4178728E-02,4.02832E-03
-4.4178128E-02,4.02832E-03
-4.4177528E-02,2.56348E-03
-4.4176928E-02,2.56348E-03
-4.4176328E-02,-3.29590E-03
-4.4175728E-02,5.49316E-03
-4.4175128E-02,1.09863E-03
-4.4174528E-02,2.56348E-03
-4.4173928E-02,5.49316E-03
-4.4173328E-02,1.83105E-03
-4.4172728E-02,3.29590E-03
-4.4172128E-02,1.83105E-03
-4.4171528E-02,4.02832E-03
-4.4170928E-02,5.49316E-03
-4.4170328E-02,6.95801E-03
-4.4169728E-02,4.02832E-03
-4.4169128E-02,3.29590E-03
-4.4168528E-02,2.56348E-03
-4.4167928E-02,-2.56348E-03
-4.4167328E-02,5.49316E-03
-4.4166728E-02,3.29590E-03
-4.4166128E-02,5.49316E-03
-4.4165528E-02,2.56348E-03
-4.4164928E-02,5.49316E-03
-4.4164328E-02,2.56348E-03
-4.4163728E-02,6.22559E-03
-4.4163128E-02,4.02832E-03
-4.4162528E-02,-2.56348E-03
-4.4161928E-02,4.76074E-03
-4.4161328E-02,1.09863E-03
-4.4160728E-02,4.76074E-03
-4.4160128E-02,3.29590E-03
-4.4159528E-02,1.09863E-03
-4.4158928E-02,2.56348E-03
-4.4158328E-02,6.95801E-03
-4.4157728E-02,6.22559E-03
-4.4157128E-02,7.69043E-03
-4.4156528E-02,1.09863E-03
-4.4155928E-02,3.29590E-03
-4.4155328E-02,5.49316E-03
-4.4154728E-02,4.02832E-03
-4.4154128E-02,1.83105E-03
-4.4153528E-02,4.76074E-03
-4.4152928E-02,5.49316E-03
